pdf_id,pdf_original_website_link
3980,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE3LyZmbmFtZT1DT01TMzU0MTcyOTA4MTcucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0yNS8wOS8yMDE3JnNwYXNzcGhyYXNlPTAzMDkyNDAxNDY0NCZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
4062,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDIzLyZmbmFtZT0yNTA0MDAwMDEyNTIwMThfMTUucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0yMC8xMS8yMDIzJnNwYXNzcGhyYXNlPTAzMDkyNDAzMjg1NiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9Tw==
4063,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDIzLyZmbmFtZT0yNTA0MDAwMDEyNTIwMThfMTQucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0wNC8xMC8yMDIzJnNwYXNzcGhyYXNlPTAzMDkyNDAzMjg1NiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9Tw==
4064,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDIzLyZmbmFtZT0yNTA0MDAwMDEyNTIwMThfMTMucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0yNi8wNC8yMDIzJnNwYXNzcGhyYXNlPTAzMDkyNDAzMjg1NiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
4065,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDIzLyZmbmFtZT0yNTA0MDAwMDEyNTIwMThfMTIucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0wOC8wMy8yMDIzJnNwYXNzcGhyYXNlPTAzMDkyNDAzMjg1NiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
4066,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDIzLyZmbmFtZT0yNTA0MDAwMDEyNTIwMThfMTEucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0xMC8wMi8yMDIzJnNwYXNzcGhyYXNlPTAzMDkyNDAzMjg1NiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9WSZpbnRlcmZhY2U9
4067,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDIzLyZmbmFtZT0yNTA0MDAwMDEyNTIwMThfMTAucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0xNi8wMS8yMDIzJnNwYXNzcGhyYXNlPTAzMDkyNDAzMjg1NiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9WSZpbnRlcmZhY2U9
4068,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDIyLyZmbmFtZT0yNTA0MDAwMDEyNTIwMThfOS5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTI1LzExLzIwMjImc3Bhc3NwaHJhc2U9MDMwOTI0MDMyODU2Jm5jaXRhdGlvbj0mc21jaXRhdGlvbj0mZGlnY2VydGZsZz1ZJmludGVyZmFjZT0=
4069,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDIyLyZmbmFtZT0yNTA0MDAwMDEyNTIwMThfOC5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTE1LzEwLzIwMjImc3Bhc3NwaHJhc2U9MDMwOTI0MDMyODU2Jm5jaXRhdGlvbj0mc21jaXRhdGlvbj0mZGlnY2VydGZsZz1ZJmludGVyZmFjZT0=
4070,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDIyLyZmbmFtZT0yNTA0MDAwMDEyNTIwMThfNy5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTE2LzA5LzIwMjImc3Bhc3NwaHJhc2U9MDMwOTI0MDMyODU2Jm5jaXRhdGlvbj0mc21jaXRhdGlvbj0mZGlnY2VydGZsZz1ZJmludGVyZmFjZT0=
4071,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDIyLyZmbmFtZT0yNTA0MDAwMDEyNTIwMThfNi5wZGYmc21mbGFnPU4mcmp1ZGRhdGU9JnVwbG9hZGR0PTE4LzA4LzIwMjImc3Bhc3NwaHJhc2U9MDMwOTI0MDMyODU2Jm5jaXRhdGlvbj0mc21jaXRhdGlvbj0mZGlnY2VydGZsZz1ZJmludGVyZmFjZT0=
4072,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE5LyZmbmFtZT1TNDc1MTcyNjA2MTkucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0yOC8wNi8yMDE5JnNwYXNzcGhyYXNlPTAzMDkyNDAzMjg1NiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
4073,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE5LyZmbmFtZT1TNDc1MTcyNTAzMTkucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0xMS8wNC8yMDE5JnNwYXNzcGhyYXNlPTAzMDkyNDAzMjg1NiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
4074,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE5LyZmbmFtZT1TNDc1MTcyNDAxMTkucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0zMC8wMS8yMDE5JnNwYXNzcGhyYXNlPTAzMDkyNDAzMjg1NiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
4075,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE3LyZmbmFtZT1TNDc1MTcwNTEyMTcucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0xMi8xMi8yMDE3JnNwYXNzcGhyYXNlPTAzMDkyNDAzMjg1NiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
4076,https://bombayhighcourt.nic.in/generatenewauth.php?bhcpar=cGF0aD0uL3dyaXRlcmVhZGRhdGEvZGF0YS9vcmlnaW5hbC8yMDE3LyZmbmFtZT1TNDc1MTcxNDExMTcucGRmJnNtZmxhZz1OJnJqdWRkYXRlPSZ1cGxvYWRkdD0xNy8xMS8yMDE3JnNwYXNzcGhyYXNlPTAzMDkyNDAzMjg1NiZuY2l0YXRpb249JnNtY2l0YXRpb249JmRpZ2NlcnRmbGc9TiZpbnRlcmZhY2U9
